b3_id,cvm_id,segment,is_restructuring,most_traded_stock,stock_type,volume
VSTE,21440,apparel. fabric and footwear,False,VSTE3,ON      NM,280177
VULC,11762,footwear,False,VULC3,ON      NM,5818326
VVEO,25682,pharmaceutical and others products,False,VVEO3,ON      NM,6567422
WEGE,5410,motors and compressors,False,WEGE3,ON      NM,174658342
WEST,25518,software and services,False,WEST3,ON      NM,816361
WHRL,14346,household appliance,False,WHRL3,ON,18125
WIZC,23590,insurance and reinsurance brokers,False,WIZC3,ON      NM,9079815
WLMM,11070,transportation material,False,WLMM4,PN,24372
YDUQ,21016,education services,False,YDUQ3,ON      NM,69360850
ZAMP,24317,restaurants and similars,False,ZAMP3,ON      NM,7287308
